ID,PlayerID,Login,Amount,Type,Date,"User Name",Info
36,12,alex,200000,Withdrawal,"2021-09-22 10:44:29",Սմբատ,asd
35,57,Izabella,100000,Withdrawal,"2021-09-13 08:39:21",Սմբատ,gtfry
34,61,anushta93,500000,Withdrawal,"2021-09-09 10:53:37",Սմբատ,"for testing purposes"
33,60,Iza,100,Withdrawal,"2021-09-01 13:13:15",Սմբատ,"test test test"
32,60,Iza,100,Deposit,"2021-09-01 12:51:01",Սմբատ,"test test test"
31,60,Iza,1000,Withdrawal,"2021-09-01 12:47:54",Սմբատ,"test test test"
30,60,Iza,20000,Withdrawal,"2021-09-01 11:45:49",Սմբատ,op[
29,60,Iza,20000,Withdrawal,"2021-09-01 11:45:22",Սմբատ,op[
28,164,john,200000,Withdrawal,"2021-09-01 10:55:30",Սմբատ,ewre
23,60,Iza,10000,Withdrawal,"2021-08-31 08:28:18",Սմբատ,"test note"
22,60,Iza,99,Deposit,"2021-08-31 08:14:46",Սմբատ,"test note"
21,60,Iza,999,Withdrawal,"2021-08-31 08:12:52",Սմբատ,"test note"
